epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.487,2.67756,2.48125,2.59337,0.87448,0.7232,0.80427,0.44855,1.6524,1.24895,1.68771,0.000665911,0.000665911,0.000665911
2,231.813,1.61877,1.10517,1.53115,0.93981,0.80668,0.8855,0.54319,1.44328,0.89941,1.48294,0.000892827,0.000892827,0.000892827
3,332.664,1.45101,0.89708,1.38113,0.91287,0.83748,0.89515,0.53913,1.39988,0.85666,1.41341,0.000679743,0.000679743,0.000679743
