frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
49,2312.0,[2225.7575441759673 1396.934786167307 2925.86521485922 2088.870387687068],[2486.097900390625 1900.826416015625 2641.422119140625 1958.2706298828125],0.31041595339775085,UNKNOWN,0
50,2313.0,[1115.4531826910895 1171.1687942418698 1711.7844034097973 1643.1949319304922],[1331.3624267578125 1471.7991943359375 1479.22314453125 1538.001953125],0.4061792194843292,GX15OGJ,0.20990413643566244
50,2312.0,[2230.611114326108 1400.1699825488508 2935.1147188059413 2096.0675844205493],[2496.068359375 1902.6387939453125 2658.732421875 1963.4466552734375],0.40430712699890137,UNKNOWN,0
51,2312.0,[2232.8076097238536 1405.9458244811178 2938.5800622200686 2103.069802677802],[2492.40283203125 1915.2900390625 2652.88037109375 1973.9337158203125],0.32355770468711853,MI51VSL,0.0567150071752517
53,2313.0,[1106.518276500357 1181.9818351007161 1707.761276776861 1663.0702354915543],[1319.349853515625 1474.0528564453125 1475.3956298828125 1555.1302490234375],0.363888680934906,UNKNOWN,0
53,2312.0,[2235.4748175333093 1419.7464340080119 2945.424480824639 2119.676150093388],[2499.314208984375 1923.05078125 2674.896484375 1992.43994140625],0.30523359775543213,UNKNOWN,0
54,2312.0,[2235.934431326476 1430.9039959517681 2950.5988493700984 2129.623243473749],[2504.124755859375 1934.129638671875 2689.578369140625 2013.425048828125],0.49119001626968384,UNKNOWN,0
55,2312.0,[2236.666167078834 1437.7863303002443 2951.328534334661 2135.8174430718764],[2515.567626953125 1924.6058349609375 2688.95556640625 2000.8729248046875],0.27359098196029663,UNKNOWN,0
56,2312.0,[2238.035703534867 1444.347164976364 2957.4117728598776 2141.3299993350533],[2514.289306640625 1953.2999267578125 2677.01318359375 2015.9381103515625],0.31772345304489136,UNKNOWN,0
57,2312.0,[2237.991134257715 1449.5817728695663 2957.004262522326 2145.9874575884032],[2522.054931640625 1963.8880615234375 2699.795654296875 2034.1160888671875],0.5086873173713684,UNKNOWN,0
58,2312.0,[2237.2575714779314 1453.5695875473234 2954.8840535454137 2148.3728359405022],[2502.291748046875 1971.5703125 2680.609375 2031.588134765625],0.4437338709831238,UNKNOWN,0
59,2312.0,[2241.438925939132 1457.6361747923486 2957.9843884464017 2149.1989648772233],[2534.074951171875 1983.2532958984375 2711.387451171875 2036.9345703125],0.4693986475467682,UNKNOWN,0
60,2312.0,[2248.4059336577625 1464.417809118931 2961.0867812115516 2150.294031608923],[2532.761474609375 1993.5758056640625 2710.303955078125 2049.35888671875],0.45261767506599426,UNKNOWN,0
60,2313.0,[1084.7572008089614 1210.93605944388 1708.8445200864971 1697.7662865226525],[1309.484619140625 1535.2447509765625 1464.8538818359375 1593.8660888671875],0.3457280099391937,GX15OGJ,0.2901550188007153
61,2312.0,[2247.950356825286 1469.7180361982234 2959.4151064280622 2150.418759855672],[2526.59130859375 1993.2841796875 2701.910400390625 2062.508056640625],0.420518696308136,UNKNOWN,0
61,2313.0,[1079.4865248132012 1213.7361416323224 1704.1290098420416 1701.6346255884105],[1298.6915283203125 1537.9366455078125 1457.228759765625 1599.3394775390625],0.2805345356464386,UNKNOWN,0
62,2313.0,[1074.2867284539022 1218.2082119749557 1696.6182086324236 1706.874988011045],[1301.2301025390625 1534.4097900390625 1466.9332275390625 1590.1639404296875],0.4996884763240814,GX15OGJ,0.26493535504471083
62,2312.0,[2245.327383170941 1475.6545941231357 2958.8917535403234 2151.679343067113],[2526.201416015625 1998.9893798828125 2713.049560546875 2069.16650390625],0.4435403645038605,UNKNOWN,0
