frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
117,2308,2052.529208204984 1147.1745469460834 2580.03343091101 1603.1659559865425,2198.862060546875 1457.8765869140625 2432.37060546875 1518.2962646484375,0.31606385111808777,AP05JEQ,0.33314288487997984
118,2308,2050.7228616608413 1151.9484938957874 2580.8079956490715 1607.8771066007096,2197.045654296875 1460.6568603515625 2429.78076171875 1518.3536376953125,0.28794652223587036,AP05JEQ,0.21620370918694037
119,2308,2051.4701922082713 1156.5407811720768 2583.813754207762 1614.2725877358644,2242.6207275390625 1456.3740234375 2449.5552978515625 1516.390625,0,0,0
120,2308,2052.217522755701 1161.1330684483662 2586.819512766452 1620.6680688710192,2288.19580078125 1452.0911865234375 2469.329833984375 1514.4276123046875,0.28914839029312134,UNKNOWN,0
121,2308,2050.392903241863 1162.9920582283 2587.6808964954676 1625.7908456958114,2259.0654296875 1454.8416748046875 2444.219482421875 1522.1495361328125,0.27093639969825745,UNKNOWN,0
122,2308,2050.1422340270256 1166.825138330108 2588.9280757502474 1630.4791629044219,2247.5643484933034 1458.219029017857 2446.6336495535716 1527.4778355189733,0,0,0
123,2308,2049.891564812188 1170.6582184319159 2590.175255005028 1635.1674801130323,2236.0632672991073 1461.5963832310267 2449.0478166852677 1532.8061349051338,0,0,0
124,2308,2049.64089559735 1174.491298533724 2591.4224342598077 1639.8557973216427,2224.562186104911 1464.9737374441963 2451.461983816964 1538.1344342912946,0,0,0
125,2308,2049.3902263825125 1178.324378635532 2592.6696135145876 1644.544114530253,2213.061104910714 1468.3510916573662 2453.876150948661 1543.4627336774554,0,0,0
126,2308,2049.139557167675 1182.15745873734 2593.9167927693675 1649.2324317388634,2201.5600237165177 1471.7284458705358 2456.2903180803573 1548.7910330636162,0,0,0
127,2308,2048.888887952837 1185.9905388391478 2595.163972024148 1653.9207489474738,2190.0589425223216 1475.1058000837054 2458.7044852120534 1554.1193324497767,0,0,0
128,2308,2048.6382187379995 1189.8236189409558 2596.4111512789277 1658.6090661560843,2178.557861328125 1478.483154296875 2461.11865234375 1559.4476318359375,0.38788244128227234,AP05JEO,0.31190886191032136
129,2308,2046.0541660191452 1193.7342239383838 2595.7538091594774 1664.4609578590157,2267.240966796875 1500.3770751953125 2469.209716796875 1571.858642578125,0.4059899151325226,AP05JEO,0.3541139451804086
130,2308,2048.3817012688037 1196.5569277843979 2598.26106290523 1669.7433573900157,2236.885498046875 1480.083740234375 2459.913330078125 1561.98876953125,0.25402703881263733,AP05JEO,0.47994745940171
131,2308,2047.349782387956 1200.7913459291406 2599.830388931914 1675.0583396470167,2216.28564453125 1509.806884765625 2464.81640625 1584.173583984375,0.3119399845600128,AP05JEO,0.16311263202945858
132,2308,2046.3115237458767 1204.3998292835556 2601.4754710443217 1679.0096480710147,2206.857177734375 1519.6937255859375 2464.9840494791665 1592.4710693359375,0,0,0
133,2308,2045.2732651037973 1208.0083126379704 2603.12055315673 1682.9609564950124,2197.4287109375 1529.58056640625 2465.1516927083335 1600.7685546875,0,0,0
134,2308,2044.2350064617178 1211.6167959923855 2604.7656352691374 1686.9122649190103,2188.000244140625 1539.4674072265625 2465.3193359375 1609.0660400390625,0.4017840325832367,AP05JEO,0.17226442292526706
135,2308,2043.5328700888776 1214.9084817145324 2607.306916033091 1690.86428082955,2222.5328369140625 1534.5342407226562 2466.2337646484375 1602.1429443359375,0,0,0
136,2308,2042.8307337160377 1218.2001674366793 2609.8481967970447 1694.8162967400895,2257.0654296875 1529.60107421875 2467.148193359375 1595.2198486328125,0.4979207217693329,AP05JEO,0.4261716314927858
137,2308,2042.5984455044204 1222.705996529961 2613.261911302206 1700.6928645245077,2309.87451171875 1522.8330078125 2483.13525390625 1605.7154541015625,0.35652345418930054,UNKNOWN,0
138,2308,2046.0034086646283 1228.1774257813993 2617.249224781991 1706.8852271356989,2219.68505859375 1532.754150390625 2469.34375 1604.11962890625,0.6058412194252014,AP05JEO,0.11948228672502562
139,2308,2049.2291526783656 1231.3333651654193 2620.231944067673 1710.3257414592667,2210.817626953125 1541.081787109375 2444.58935546875 1604.157470703125,0.4133818745613098,AP05JEO,0.18225925888716446
140,2308,2051.297250006006 1233.3494182495851 2624.338285890035 1716.317189893125,2255.86572265625 1539.17724609375 2482.522216796875 1615.171630859375,0.40865927934646606,AP05JEO,0.4431838081344548
141,2308,2050.3997943681607 1237.7774368436749 2625.933844600673 1724.3808870850835,2225.578125 1547.3280029296875 2465.789306640625 1633.92333984375,0.38311171531677246,AP05JEO,0.21210918639380924
142,2308,2050.2978634485553 1239.8319613951585 2628.4698781652824 1729.7739338340007,2212.926513671875 1548.68798828125 2471.3203125 1637.397216796875,0.3483685255050659,AP05JEO,0.2731977824021968
143,2308,2045.1975681978088 1242.8900223910452 2628.0013073397163 1736.456142814808,2190.89892578125 1565.784423828125 2477.025634765625 1651.845703125,0.2791442275047302,AP05JEO,0.2987251763090333
144,2308,2046.4545481626424 1247.8968482591044 2633.297391554763 1744.8904175258326,2208.2275390625 1546.0279541015625 2455.388916015625 1636.5789794921875,0.2593631446361542,AP05JEO,0.2949461208128491
145,2308,2047.6415353347973 1252.0560709824879 2636.3412555077607 1750.554213090443,2228.991943359375 1563.3770751953125 2472.4443359375 1651.118896484375,0.43004927039146423,AP05JEO,0.1375879650565686
146,2308,2047.9714303461365 1257.0625073039905 2638.5159646862553 1757.801419929248,2229.353759765625 1569.493896484375 2460.783935546875 1652.0245361328125,0.35187438130378723,AP05JEO,0.1989106766793677
147,2308,2048.3467882555997 1260.9198312920887 2640.37089248583 1764.5266407122942,2249.345703125 1596.4774169921875 2462.876953125 1667.0411376953125,0.3265342712402344,AP05JEO,0.31144096398922005
